id_type,conf_level,culprit_present,lineup_size,suspect_position,conf_level_orig
suspect,2,present,6,5,2
suspect,3,present,6,5,3
reject,5,present,6,5,5
suspect,1,present,6,5,1
reject,3,present,6,5,3
filler,4,present,6,5,4
reject,2,present,6,5,2
reject,4,present,6,5,4
reject,1,present,6,5,1
suspect,3,present,6,5,3
suspect,1,present,6,5,1
filler,1,present,6,5,1
suspect,1,present,6,5,1
suspect,5,present,6,5,5
suspect,1,present,6,5,1
suspect,2,present,6,5,2
filler,2,present,6,5,2
suspect,1,present,6,5,1
suspect,2,present,6,5,2
reject,3,present,6,5,3
suspect,5,present,6,5,5
suspect,2,present,6,5,2
filler,4,present,6,5,4
reject,3,present,6,5,3
reject,3,present,6,5,3
suspect,3,present,6,5,3
reject,5,absent,6,2,7
reject,5,absent,6,2,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,2,7
reject,5,absent,6,2,7
reject,5,absent,6,2,7
reject,5,absent,6,2,7
filler,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
reject,5,absent,6,5,7
suspect,5,absent,6,2,6
suspect,5,absent,6,5,6
suspect,5,absent,6,2,6
suspect,5,absent,6,2,6
reject,5,absent,6,2,6
reject,5,absent,6,2,6
filler,5,absent,6,2,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,2,6
filler,5,absent,6,2,6
reject,5,absent,6,2,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,2,6
reject,5,absent,6,2,6
filler,5,absent,6,2,6
filler,5,absent,6,2,6
filler,5,absent,6,2,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
reject,5,absent,6,5,6
filler,5,absent,6,5,6
reject,5,absent,6,2,5
suspect,5,absent,6,2,5
suspect,5,absent,6,2,5
suspect,5,absent,6,5,5
reject,5,absent,6,2,5
reject,5,absent,6,2,5
suspect,5,absent,6,2,5
suspect,5,absent,6,5,5
reject,5,absent,6,2,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,2,5
reject,5,absent,6,2,5
reject,5,absent,6,2,5
reject,5,absent,6,2,5
reject,5,absent,6,2,5
filler,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
filler,5,absent,6,5,5
filler,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,2,5
filler,5,absent,6,2,5
reject,5,absent,6,2,5
filler,5,absent,6,2,5
filler,5,absent,6,2,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,5,absent,6,5,5
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
suspect,4,absent,6,2,4
reject,4,absent,6,2,4
suspect,4,absent,6,2,4
suspect,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
suspect,4,absent,6,2,4
suspect,4,absent,6,2,4
filler,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
filler,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,4,absent,6,2,4
filler,4,absent,6,2,4
filler,4,absent,6,2,4
reject,4,absent,6,2,4
filler,4,absent,6,2,4
filler,4,absent,6,2,4
filler,4,absent,6,2,4
filler,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
filler,4,absent,6,5,4
filler,4,absent,6,5,4
filler,4,absent,6,5,4
reject,4,absent,6,5,4
reject,4,absent,6,5,4
reject,3,absent,6,2,3
filler,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
filler,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,5,3
suspect,3,absent,6,2,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
reject,3,absent,6,5,3
suspect,3,absent,6,5,3
filler,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
reject,3,absent,6,2,3
filler,3,absent,6,2,3
suspect,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
suspect,3,absent,6,2,3
filler,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,3,absent,6,5,3
suspect,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
filler,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,3,absent,6,2,3
filler,3,absent,6,2,3
filler,3,absent,6,2,3
filler,3,absent,6,2,3
filler,3,absent,6,2,3
filler,3,absent,6,2,3
reject,3,absent,6,2,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
filler,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,3,absent,6,5,3
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,5,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
reject,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
reject,2,absent,6,5,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
filler,2,absent,6,2,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
suspect,2,absent,6,5,2
suspect,2,absent,6,5,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
suspect,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
suspect,2,absent,6,2,2
reject,2,absent,6,5,2
reject,2,absent,6,5,2
reject,2,absent,6,5,2
suspect,2,absent,6,2,2
reject,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,2,absent,6,5,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
filler,2,absent,6,2,2
reject,2,absent,6,2,2
reject,2,absent,6,2,2
filler,2,absent,6,2,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
filler,2,absent,6,5,2
reject,2,absent,6,5,2
reject,1,absent,6,2,1
filler,1,absent,6,2,1
reject,1,absent,6,2,1
reject,1,absent,6,2,1
reject,1,absent,6,2,1
reject,1,absent,6,2,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
filler,1,absent,6,5,1
filler,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
filler,1,absent,6,5,1
filler,1,absent,6,2,1
filler,1,absent,6,2,1
filler,1,absent,6,2,1
filler,1,absent,6,2,1
filler,1,absent,6,2,1
filler,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,5,1
filler,1,absent,6,5,1
filler,1,absent,6,5,1
reject,1,absent,6,5,1
reject,1,absent,6,2,1
reject,1,absent,6,2,1
suspect,1,absent,6,2,1
reject,1,absent,6,2,1
suspect,1,absent,6,2,1
filler,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
reject,1,absent,6,2,1
filler,1,absent,6,2,1
reject,1,absent,6,2,1
filler,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,5,1
reject,1,absent,6,2,1
filler,1,absent,6,2,1
suspect,1,absent,6,5,1
filler,1,absent,6,5,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
filler,1,absent,6,5,1
suspect,1,absent,6,5,1
filler,1,absent,6,5,1
reject,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,3,absent,6,2,3
suspect,4,absent,6,2,4
reject,3,absent,6,2,3
reject,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
suspect,3,absent,6,2,3
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
reject,5,absent,6,2,5
suspect,1,absent,6,2,1
reject,5,absent,6,2,5
reject,1,absent,6,2,1
filler,3,absent,6,2,3
suspect,3,absent,6,2,3
reject,5,absent,6,2,5
reject,3,absent,6,2,3
reject,5,absent,6,2,7
suspect,1,absent,6,2,1
reject,5,absent,6,2,6
reject,2,absent,6,2,2
reject,2,absent,6,2,2
suspect,1,absent,6,2,1
suspect,3,absent,6,2,3
reject,5,absent,6,2,5
suspect,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,3,absent,6,2,3
reject,3,absent,6,2,3
filler,3,absent,6,2,3
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
filler,3,absent,6,2,3
suspect,1,absent,6,2,1
suspect,3,absent,6,2,3
suspect,2,absent,6,2,2
reject,5,absent,6,2,5
reject,2,absent,6,2,2
suspect,3,absent,6,2,3
suspect,2,absent,6,2,2
reject,2,absent,6,2,2
suspect,3,absent,6,5,3
suspect,1,absent,6,5,1
reject,4,absent,6,5,4
suspect,1,absent,6,5,1
suspect,3,absent,6,5,3
suspect,2,absent,6,5,2
suspect,3,absent,6,5,3
suspect,1,absent,6,5,1
suspect,3,absent,6,5,3
suspect,3,absent,6,5,3
suspect,3,absent,6,5,3
reject,5,absent,6,5,7
reject,5,absent,6,5,6
reject,2,absent,6,5,2
suspect,3,absent,6,5,3
reject,4,absent,6,5,4
reject,5,absent,6,5,6
reject,5,absent,6,5,7
suspect,3,absent,6,5,3
suspect,2,absent,6,5,2
reject,2,absent,6,5,2
suspect,2,absent,6,5,2
suspect,3,absent,6,5,3
reject,4,absent,6,5,4
suspect,2,absent,6,5,2
reject,5,absent,6,5,5
suspect,2,absent,6,5,2
reject,5,absent,6,5,7
reject,4,absent,6,5,4
filler,3,absent,6,5,3
reject,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,3,absent,6,5,3
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,3,absent,6,5,3
suspect,1,absent,6,5,1
reject,2,absent,6,5,2
reject,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,5,absent,6,5,5
suspect,2,absent,6,5,2
reject,3,absent,6,5,3
filler,3,absent,6,2,3
reject,4,absent,6,2,4
suspect,4,absent,6,2,4
suspect,3,absent,6,2,3
reject,3,absent,6,2,3
reject,5,absent,6,2,6
reject,5,absent,6,2,6
reject,5,absent,6,2,7
reject,3,absent,6,2,3
reject,3,absent,6,2,3
reject,5,absent,6,2,5
reject,5,absent,6,2,5
reject,4,absent,6,2,4
reject,2,absent,6,2,2
suspect,1,absent,6,2,1
reject,2,absent,6,2,2
reject,2,absent,6,2,2
reject,5,absent,6,2,5
reject,5,absent,6,2,5
suspect,1,absent,6,2,1
reject,1,absent,6,2,1
suspect,1,absent,6,2,1
reject,5,absent,6,2,5
reject,5,absent,6,2,6
reject,5,absent,6,2,6
filler,5,absent,6,2,6
filler,1,absent,6,2,1
reject,4,absent,6,2,4
reject,4,absent,6,2,4
reject,3,absent,6,2,3
reject,2,absent,6,2,2
filler,4,absent,6,2,4
reject,3,absent,6,2,3
reject,4,absent,6,2,4
suspect,2,absent,6,2,2
filler,3,absent,6,2,3
suspect,2,absent,6,2,2
reject,3,absent,6,2,3
reject,1,absent,6,2,1
reject,1,absent,6,2,1
reject,2,absent,6,2,2
suspect,1,absent,6,2,1
reject,2,absent,6,2,2
reject,4,absent,6,2,4
suspect,4,absent,6,2,4
suspect,1,absent,6,2,1
suspect,3,absent,6,2,3
reject,4,absent,6,2,4
reject,1,absent,6,2,1
reject,3,absent,6,2,3
suspect,2,absent,6,2,2
reject,1,absent,6,2,1
suspect,3,absent,6,2,3
reject,5,absent,6,2,5
reject,3,absent,6,2,3
reject,2,absent,6,5,2
suspect,2,absent,6,5,2
reject,2,absent,6,5,2
reject,5,absent,6,5,5
suspect,4,absent,6,5,4
reject,3,absent,6,5,3
reject,1,absent,6,5,1
reject,5,absent,6,5,7
filler,4,absent,6,5,4
reject,5,absent,6,5,7
suspect,2,absent,6,5,2
filler,3,absent,6,5,3
reject,5,absent,6,5,7
filler,3,absent,6,5,3
reject,5,absent,6,5,5
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,3,absent,6,5,3
suspect,3,absent,6,5,3
suspect,2,absent,6,5,2
filler,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
reject,4,absent,6,5,4
reject,1,absent,6,5,1
filler,2,absent,6,5,2
suspect,3,absent,6,5,3
suspect,4,absent,6,5,4
suspect,4,absent,6,5,4
filler,2,absent,6,5,2
filler,5,absent,6,5,5
reject,2,absent,6,5,2
filler,3,absent,6,5,3
suspect,5,absent,6,5,5
reject,1,absent,6,5,1
reject,4,absent,6,5,4
filler,3,absent,6,5,3
suspect,3,absent,6,5,3
filler,1,absent,6,5,1
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,3,absent,6,5,3
reject,2,absent,6,5,2
reject,5,absent,6,5,6
suspect,1,absent,6,5,1
reject,3,absent,6,5,3
suspect,2,absent,6,5,2
filler,3,absent,6,5,3
reject,5,absent,6,5,7
filler,5,absent,6,5,7
filler,3,absent,6,5,3
suspect,1,absent,6,5,1
suspect,3,absent,6,5,3
reject,2,absent,6,5,2
suspect,2,absent,6,2,2
reject,2,absent,6,2,2
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
suspect,1,absent,6,2,1
filler,3,absent,6,2,3
suspect,1,absent,6,2,1
reject,5,absent,6,2,6
suspect,2,absent,6,2,2
suspect,5,absent,6,2,5
suspect,3,absent,6,2,3
reject,5,absent,6,2,6
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,2,absent,6,2,2
suspect,1,absent,6,2,1
reject,3,absent,6,2,3
filler,4,absent,6,2,4
reject,3,absent,6,2,3
suspect,1,absent,6,2,1
suspect,2,absent,6,2,2
suspect,2,absent,6,2,2
suspect,2,absent,6,2,2
filler,5,absent,6,2,5
reject,1,absent,6,2,1
reject,4,absent,6,2,4
reject,5,absent,6,2,6
filler,2,absent,6,2,2
reject,5,absent,6,2,7
suspect,1,absent,6,2,1
suspect,5,absent,6,2,5
reject,4,absent,6,2,4
reject,2,absent,6,2,2
suspect,3,absent,6,2,3
reject,4,absent,6,2,4
filler,3,absent,6,2,3
suspect,2,absent,6,2,2
suspect,4,absent,6,2,4
reject,2,absent,6,2,2
suspect,3,absent,6,2,3
suspect,3,absent,6,2,3
suspect,1,absent,6,2,1
reject,5,absent,6,2,6
reject,1,absent,6,2,1
reject,3,absent,6,2,3
reject,3,absent,6,2,3
suspect,1,absent,6,5,1
filler,4,absent,6,5,4
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,3,absent,6,5,3
reject,4,absent,6,5,4
reject,3,absent,6,5,3
filler,5,absent,6,5,6
filler,4,absent,6,5,4
reject,1,absent,6,5,1
filler,4,absent,6,5,4
suspect,4,absent,6,5,4
filler,3,absent,6,5,3
suspect,1,absent,6,5,1
reject,2,absent,6,5,2
reject,2,absent,6,5,2
suspect,2,absent,6,5,2
reject,1,absent,6,5,1
reject,5,absent,6,5,6
reject,1,absent,6,5,1
reject,4,absent,6,5,4
suspect,1,absent,6,5,1
suspect,1,absent,6,5,1
filler,5,absent,6,5,6
filler,3,absent,6,5,3
reject,4,absent,6,5,4
suspect,3,absent,6,5,3
suspect,3,absent,6,5,3
reject,5,absent,6,5,6
reject,3,absent,6,5,3
filler,4,absent,6,5,4
reject,5,absent,6,5,5
suspect,3,absent,6,5,3
filler,3,absent,6,5,3
filler,4,absent,6,5,4
reject,2,absent,6,5,2
reject,3,absent,6,5,3
reject,5,absent,6,5,7
reject,2,absent,6,5,2
suspect,2,absent,6,5,2
filler,5,absent,6,5,6
reject,5,absent,6,5,7
suspect,1,absent,6,5,1
reject,2,absent,6,5,2
reject,3,absent,6,5,3
filler,2,absent,6,5,2
suspect,1,absent,6,5,1
suspect,2,absent,6,5,2
suspect,1,absent,6,5,1
