id_type,conf_level,culprit_present,lineup_size
filler,5,present,8
filler,5,present,8
filler,5,present,8
filler,5,present,8
filler,5,present,8
suspect,5,present,8
suspect,5,present,8
suspect,5,present,8
suspect,5,present,8
reject,5,present,8
reject,5,present,8
reject,5,present,8
reject,5,present,8
reject,5,present,8
filler,5,absent,8
filler,5,absent,8
reject,5,absent,8
reject,5,absent,8
reject,5,absent,8
reject,5,absent,8
filler,5,absent,8
suspect,5,absent,8
suspect,5,absent,8
filler,5,absent,8
reject,5,absent,8
reject,5,absent,8
reject,5,absent,8
reject,5,absent,8
suspect,4,present,8
suspect,4,present,8
suspect,4,present,8
suspect,4,present,8
filler,4,present,8
filler,4,present,8
reject,4,present,8
reject,4,present,8
suspect,4,present,8
suspect,4,present,8
filler,4,present,8
filler,4,present,8
filler,4,present,8
filler,4,present,8
filler,4,present,8
reject,4,present,8
reject,4,present,8
reject,4,present,8
reject,4,present,8
reject,4,present,8
reject,4,present,8
suspect,4,absent,8
filler,4,absent,8
filler,4,absent,8
reject,4,absent,8
reject,4,absent,8
filler,4,absent,8
filler,4,absent,8
filler,4,absent,8
filler,4,absent,8
filler,4,absent,8
suspect,4,absent,8
filler,4,absent,8
filler,4,absent,8
suspect,4,absent,8
filler,4,absent,8
filler,4,absent,8
filler,4,absent,8
reject,4,absent,8
reject,4,absent,8
reject,4,absent,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
suspect,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
filler,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
reject,3,present,8
filler,3,absent,8
filler,3,absent,8
suspect,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
suspect,3,absent,8
filler,3,absent,8
suspect,3,absent,8
filler,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
filler,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
reject,3,absent,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
suspect,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
filler,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
reject,2,present,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
suspect,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
suspect,2,absent,8
filler,2,absent,8
suspect,2,absent,8
suspect,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
filler,2,absent,8
suspect,2,absent,8
filler,2,absent,8
filler,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
reject,2,absent,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
filler,1,present,8
filler,1,present,8
reject,1,present,8
reject,1,present,8
reject,1,present,8
reject,1,present,8
reject,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
suspect,1,present,8
filler,1,present,8
filler,1,present,8
filler,1,present,8
filler,1,present,8
reject,1,present,8
reject,1,present,8
reject,1,present,8
reject,1,present,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
suspect,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
filler,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
reject,1,absent,8
